id,section,order,type,analytics_key,label_en,description_en,hint_en,options_en,required,min,max,step,pattern,show_if,label_ru,description_ru,hint_ru,options_ru
primary_goal,profile,1,single_choice,quiz_goal,"What is your primary goal?","This helps us tailor your plan.",,"[{""value"":""lose_weight"",""label"":""Lose Weight""},{""value"":""maintain_weight"",""label"":""Maintain Weight""},{""value"":""gain_muscle"",""label"":""Gain Muscle""}]",TRUE,,,,,"","Какова ваша основная цель?","Это поможет нам адаптировать ваш план.",,"[{""value"":""lose_weight"",""label"":""Похудеть""},{""value"":""maintain_weight"",""label"":""Поддерживать вес""},{""value"":""gain_muscle"",""label"":""Набрать мышечную массу""}]"
gender,profile,2,single_choice,quiz_gender,"What is your biological sex?","This helps us calculate your metabolic rate more accurately.",,"[{""value"":""male"",""label"":""Male""},{""value"":""female"",""label"":""Female""}]",TRUE,,,,,"","Ваш биологический пол?","Это помогает нам точнее рассчитать ваш метаболизм.",,"[{""value"":""male"",""label"":""Мужской""},{""value"":""female"",""label"":""Женский""}]"
dob,profile,3,date,quiz_dob,"What is your date of birth?",,"Pick a date",,TRUE,,,,,"","Когда вы родились?",,"Выберите дату",
measurements,profile,4,height_weight,quiz_measurements,"Your Measurements","Height in cm / Weight in kg",,TRUE,35,300,,,,"Ваши параметры","Рост в см / Вес в кг",,
target_weight,profile,5,number,quiz_target_weight,"What is your target weight? (kg)","Enter your target weight",,TRUE,35,300,,"answers['primary_goal'] === 'lose_weight' || answers['primary_goal'] === 'gain_muscle'","Каков ваш целевой вес? (кг)","Введите ваш целевой вес",,
activity_level,profile,6,single_choice,quiz_activity,"What is your activity level?","'Sedentary' is a desk job with little exercise. 'Very Active' is a physical job or daily intense workouts.",,"[{""value"":""sedentary"",""label"":""Sedentary""},{""value"":""light"",""label"":""Lightly Active""},{""value"":""moderate"",""label"":""Moderately Active""},{""value"":""active"",""label"":""Active""},{""value"":""very_active"",""label"":""Very Active""}]",TRUE,,,,,"","Какой у вас уровень активности?","'Сидячий' - офисная работа с минимумом упражнений. 'Очень активный' - физическая работа или ежедневные интенсивные тренировки.",,"[{""value"":""sedentary"",""label"":""Сидячий""},{""value"":""light"",""label"":""Малоактивный""},{""value"":""moderate"",""label"":""Умеренно активный""},{""value"":""active"",""label"":""Активный""},{""value"":""very_active"",""label"":""Очень активный""}]"
diet_preference,nutrition,1,single_choice,quiz_diet,"Any dietary preferences?","We'll suggest recipes based on your choice.",,"[{""value"":""omnivore"",""label"":""None""},{""value"":""vegetarian"",""label"":""Vegetarian""},{""value"":""vegan"",""label"":""Vegan""},{""value"":""pescetarian"",""label"":""Pescetarian""}]",TRUE,,,,,"","Есть ли диетические предпочтения?","Мы будем предлагать рецепты на основе вашего выбора.",,"[{""value"":""omnivore"",""label"":""Никаких""},{""value"":""vegetarian"",""label"":""Вегетарианец""},{""value"":""vegan"",""label"":""Веган""},{""value"":""pescetarian"",""label"":""Пескетарианец""}]"
food_allergies,nutrition,2,multi_choice,quiz_allergies,"Do you have any food allergies?","Select all that apply.",,"[{""value"":""none"",""label"":""None""},{""value"":""lactose"",""label"":""Lactose""},{""value"":""gluten"",""label"":""Gluten""},{""value"":""nuts"",""label"":""Nuts""}]",TRUE,,,,,"","У вас есть пищевая аллергия?","Выберите все, что подходит.",,"[{""value"":""none"",""label"":""Нет""},{""value"":""lactose"",""label"":""Лактоза""},{""value"":""gluten"",""label"":""Глютен""},{""value"":""nuts"",""label"":""Орехи""}]"
sleep_hours,habits,1,number,quiz_sleep,"How many hours do you sleep per night?",,"e.g., 7",TRUE,2,12,0.5,,"","Сколько часов вы спите в сутки?",,"например, 7",
stress_level,habits,2,single_choice,quiz_stress,"How would you rate your average stress level?",,,"[{""value"":""low"",""label"":""Low""},{""value"":""moderate"",""label"":""Moderate""},{""value"":""high"",""label"":""High""}]",TRUE,,,,,"","Как бы вы оценили свой средний уровень стресса?",,,"[{""value"":""low"",""label"":""Низкий""},{""value"":""moderate"",""label"":""Средний""},{""value"":""high"",""label"":""Высокий""}]"
